FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
"Il y avait là, sur le bord du ruisseau, des canards qui se reposaient en discutant à voix basse tout en lissant leurs plumes avec leur bec. ",,,,,"Now some ducks were sitting together quietly by a brook and taking their rest; and, whilst they were making their feathers smooth with their bills,they were having a confidential conversation together."
Le valet s'arrêta pour écouter.,,,,,The servant stood by and listened.
Les canards se racontaient où ils avaient pataugé ce matin-là ,,,,,"They were telling one another of all the places where they had been waddling about all the morning,"
et quelles bonnes choses ils avaient trouvées à manger ,,,,,"and what good food they had found,"
puis l'un d'eux se plaignit: ,,,,,"and one said in a pitiful tone,"
J'ai l'estomac lourd ,,,,,Something lies heavy on my stomach;
car j'ai avalé par mégarde une bague qui était sous la fenêtre de la reine. ,,,,,as I was eating in haste I swallowed a ring which lay under the Queen's window.
"Le valet l'attrapa aussitôt, le porta dans la cuisine ",,,,,"The servant at once seized her by the neck, carried her to the kitchen,"
et dit au cuisinier: ,,,,,"and said to the cook,"
"Saigne ce canard, il est déjà bien assez gras. ",,,,,"Here is a fine duck; pray, kill her."
"D'accord, répondit le cuisinier en le soupesant.",,,,,"Yes, said the cook, and weighed her in his hand;"
Il n'a pas été fainéant et il s'est bien nourri;,,,,,"she has spared no trouble to fatten herself,"
il devait depuis longtemps s'attendre à ce qu'on le mette dans le four.,,,,,and has been waiting to be roasted long enough.
"Il le saigna et trouva, en le vidant, ",,,,,"So he cut off her head, and as she was being dressed for the spit,"
la bague de la reine.,,,,,the Queen's ring was found inside her.
Le valet put ainsi facilement prouver son innocence au roi.,,,,,The servant could now easily prove his innocence;
Celui-ci se rendit compte qu'il avait blessé son valet fidèle et voulut réparer son injustice; ,,,,,"and the King, to make amends for the wrong, allowed him to ask a favour,"
"il promit donc au jeune homme de lui accorder une faveur et la plus haute fonction honorifique à la cour, que le valet choisirait.",,,,,and promised him the best place in the court that he could wish for.
Le valet refusa tout,,,,,"The servant refused everything,"
"et demanda seulement un cheval et de l'argent pour la route,",,,,,"and only asked for a horse and some money for travelling,"
car il avait envie de partir à la découverte du monde.,,,,,as he had a mind to see the world and go about a little.
Aussi se mit-il en route dès qu'il eut reçu ce qu'il avait demandé.,,,,,"When his request was granted he set out on his way,"
"Un jour, il passa près d'un étang où trois poissons, qui s'étaient pris dans les roseaux, étaient en train de suffoquer.",,,,,"and one day came to a pond, where he saw three fishes caught in the reeds and gasping for water."
"On dit que les poissons sont muets,",,,,,"Now, though it is said that fishes are dumb,"
et pourtant le valet entendit leur complainte qui disait qu'ils ne voulaient pas mourir si misérablement.,,,,,"he heard them lamenting that they must perish so miserably,"
Le jeune homme eut pitié d'eux;,,,,,"and, as he had a kind heart,"
il descendit de son cheval et rejeta les trois poissons prisonniers dans l'eau.,,,,,he got off his horse and put the three prisoners back into the water.
"Ceux-ci recommencèrent à frétiller gaiement, puis ils sortirent la tête de l'eau ",,,,,"They quivered with delight, put out their heads,"
et crièrent: Nous n'oublierons pas que tu nous as sauvés et te revaudrons cela un jour.,,,,,"and cried to him, We will remember you and repay you for saving us!"
Le valet continua à galoper et eut soudain l'impression d'entendre une voix venant du sable foulé par son cheval.,,,,,"He rode on, and after a while it seemed to him that he heard a voice in the sand at his feet."
Il tendit l'oreille et entendit le roi des fourmis se lamenter:,,,,,"He listened, and heard an ant-king complain,"
"Oh, si les gens voulaient faire un peu plus attention et tenaient leurs animaux maladroits à l'écart!",,,,,"Why cannot folks, with their clumsy beasts, keep off our bodies?"
Ce cheval stupide piétine avec ses lourds sabots mes pauvres serviteurs!,,,,,"That stupid horse, with his heavy hoofs, has been treading down my people without mercy!"
Le jeune homme s'écarta aussitôt et le roi des fourmis cria:,,,,,"So he turned on to a side path and the ant-king cried out to him,"
Nous n'oublierons pas et te revaudrons cela un jour!,,,,,We will remember you one good turn deserves another!
Le chemin mena le valet dans la forêt où il vit un père corbeau et une mère corbeau en train de jeter tous leurs petits du nid.,,,,,"The path led him into a wood, and here he saw two old ravens standing by their nest, and throwing out their young ones."
"Allez-vous-en, sacripants, croassèrent-ils, ",,,,,"Out with you, you idle, good-for-nothing creatures! cried they;"
nous n'arrivons plus à vous nourrir ,,,,,we cannot find food for you any longer;
vous êtes déjà assez grands pour vous trouver à manger tout seuls! ,,,,,"you are big enough, and can provide for yourselves."
"Les pauvres petits, qui s'agitaient par terre en battant des ailes, piaillèrent: Comment pourrions-nous, ",,,,,"But the poor young ravens lay upon the ground, flapping their wings, and crying,"
"pauvres petits que nous sommes, ",,,,,"Oh, what helpless chicks we are!"
subvenir à nos besoins alors que nous ne savons même pas voler! ,,,,,"We must shift for ourselves, and yet we cannot fly!"
Nous allons mourir de faim! ,,,,,"What can we do, but lie here and starve?"
"Le jeune homme descendit aussitôt de son cheval, le transperça de son épée et l'abandonna aux jeunes corbeaux pour qu'ils aient de quoi se nourrir. ",,,,,"So the good young fellow alighted and killed his horse with his sword, and gave it to them for food."
"Les petits s'approchèrent et, après s'être rassasiés, ",,,,,"Then they came hopping up to it, satisfied their hunger,"
crièrent: Nous ne t'oublierons pas et te revaudrons cela un jour!,,,,,"and cried, We will remember you one good turn deserves another!"
Le valet fut désormais obligé de continuer sa route à pied.,,,,,"And now he had to use his own legs,"
"Il marcha et marcha et, après une longue marche,",,,,,"and when he had walked a long way, "
il arriva dans une grande ville,,,,,he came to a large city.
dont les rues étaient très peuplées et très animées.,,,,,"There was a great noise and crowd in the streets,"
"Soudain, un homme arriva à cheval",,,,,"and a man rode up on horseback, "
"et annonça que l'on cherchait un époux pour la princesse royale,",,,,,"crying aloud, The King's daughter wants a husband;"
mais que celui qui voudrait l'épouser devrait passer une épreuve difficile,,,,,"but whoever sues for her hand must perform a hard task, "
"et, s'il échouait, il devrait payer de sa vie.",,,,,and if he does not succeed he will forfeit his life.
De nombreux prétendants s'y étaient déjà essayés et tous y avaient péri.,,,,,"Many had already made the attempt, but in vain;"
"Mais le jeune homme, lorsqu'il eut l'occasion de voir la princesse, fut si ébloui de sa beauté qu'il en oublia tous les dangers.",,,,,"nevertheless when the youth saw the King's daughter he was so overcome by her great beauty that he forgot all danger,"
Il se présenta donc comme prétendant devant le roi.,,,,,"went before the King, and declared himself a suitor."
On l'emmena immédiatement au bord de la mer ,,,,,"So he was led out to the sea,"
et on jeta sous ses yeux un anneau d'or dans les vagues. ,,,,,"and a gold ring was thrown into it, in his sight;"
"Puis, le roi lui ordonna de ramener l'anneau du fond de la mer, ",,,,,"then the King ordered him to fetch this ring up from the bottom of the sea,"
"et ajouta: Si tu émerges de l'eau sans l'anneau, les vagues te rejetteront sans cesse jusqu'à ce que tu périsses. ",,,,,"and added, If you come up again without it you will be thrown in again and again until you perish amid the waves."
Tous plaignirent le jeune homme et s'en allèrent. ,,,,,All the people grieved for the handsome youth; then they went away leaving him alone by the sea.
"Seul, debout sur la plage, le valet se demanda ce qu'il allait bien pouvoir faire, lorsqu'il vit soudain trois poissons s'approcher de lui. ",,,,,"He stood on the shore and considered what he should do, when suddenly he saw three fishes come swimming towards him,"
C'étaient les poissons auxquels il avait sauvé la vie. ,,,,,and they were the very fishes whose lives he had saved.
Le poisson du milieu portait dans sa gueule un coquillage qu'il déposa aux pieds du jeune homme. ,,,,,"The one in the middle held a mussel in its mouth, which it laid on the shore at the youth's feet,"
"Celui-ci le prit, l'ouvrit et y trouva l'anneau d'or. ",,,,,"and when he had taken it up and opened it, there lay the gold ring in the shell."
"Heureux, il le porta au roi, ",,,,,"Full of joy he took it to the King,"
se réjouissant d'avance de la récompense. ,,,,,and expected that he would grant him the promised reward.
"Or, la fille du roi était très orgueilleuse et, dès qu'elle eut appris que son prétendant n'était pas de son rang, ",,,,,"But when the proud princess perceived that he was not her equal in birth,"
elle le méprisa et exigea qu'il subît une nouvelle épreuve. ,,,,,"she scorned him, and required him first to perform another task."
Elle descendit dans le jardin ,,,,,She went down into the garden 
"et, de ses propres mains, elle répandit dans l'herbe dix sacs de millet. ",,,,,and strewed with her own hands ten sacks-full of millet-seed on the grass;
"Tu devras ramasser ce millet! ordonna-t-elle, que ces sacs soient remplis avant le lever du soleil! ",,,,,"then she said, Tomorrow morning before sunrise these must be picked up,"
Et pas un seul grain ne doit manquer!,,,,,and not a single grain be wanting.
Le jeune homme s'assit dans l'herbe et se demanda comment il allait pouvoir s'acquitter de cette nouvelle tâche. ,,,,,"The youth sat down in the garden and considered how it might be possible to perform this task,"
"Ne trouvant pas de solution, ",,,,,"but he could think of nothing,"
il resta assis en attendant tristement l'aube et la mort.,,,,,"and there he sat sorrowfully awaiting the break of day, when he should be led to death."
"Or, dès que les premiers rayons de soleil éclairèrent le jardin, il vit devant lui les dix sacs de millet remplis à ras. Ils étaient rangés les uns à côté des autres ",,,,,"But as soon as the first rays of the sun shone into the garden he saw all the ten sacks standing side by side, quite full,"
et pas un grain ne manquait. ,,,,,and not a single grain was missing.
Le roi des fourmis était venu la nuit avec des milliers de ses serviteurs ,,,,,"The ant-king had come in the night with thousands and thousands of ants,"
et les fourmis reconnaissantes avaient rassemblé tout le millet avec infiniment de soin et en avaient rempli les sacs. ,,,,,and the grateful creatures had by great industry picked up all the millet-seed and gathered them into the sacks. 
La princesse descendit elle-même dans le jardin et constata avec stupéfaction que son prétendant avait rempli sa tâche. ,,,,,"Presently the King's daughter herself came down into the garden, and was amazed to see that the young man had done the task she had given him."
"Ne sachant pourtant toujours pas maîtriser son coeur plein d'orgueil,",,,,,"But she could not yet conquer her proud heart, "
"elle déclara: Il a su passer les deux épreuves,",,,,,"and said, Although he has performed both the tasks, "
mais je ne serai pas sa femme tant qu'il ne m'aura pas apporté une pomme de l'Arbre de Vie.,,,,,he shall not be my husband until he has brought me an apple from the Tree of Life.
"Le jeune homme ignorait où poussait un tel arbre, ",,,,,"The youth did not know where the Tree of Life stood,"
"mais il décida de marcher là où ses jambes voudraient bien le porter, sans trop d'espoir de trouver l'arbre en question. ",,,,,"but he set out, and would have gone on for ever, as long as his legs would carry him, though he had no hope of finding it."
Il traversa trois royaumes ,,,,,"After he had wandered through three kingdoms,"
et il arriva un soir dans une forêt. ,,,,,"he came one evening to a wood, "
Il s'assit au pied d'un arbre pour se reposer un peu,,,,,and lay down under a tree to sleep.
lorsqu'il entendit un bruissement dans les branches au-dessus de sa tête et une pomme d'or tomba dans sa main.,,,,,"But he heard a rustling in the branches, and a golden apple fell into his hand."
"Au même moment, trois corbeaux se posèrent sur ses genoux",,,,,"At the same time three ravens flew down to him, perched themselves upon his knee,"
et dirent: Nous sommes les trois jeunes corbeaux que tu as sauvés de la famine.,,,,,"and said, We are the three young ravens whom you saved from starving; when we had grown big, "
Nous avons appris que tu étais en quête de la pomme d'or ,,,,,"and heard that you were seeking the Golden Apple,"
et c'est pourquoi nous avons traversé la mer et sommes allés jusqu'au bout du monde ,,,,,"we flew over the sea to the end of the world,"
où se trouve l'Arbre de Vie pour t'apporter cette pomme. ,,,,,"where the Tree of Life stands, and have brought you the apple."
"Le jeune homme, le coeur joyeux, prit le chemin du retour ",,,,,"The youth, full of joy, set out homewards,"
et remit la pomme d'or à la belle princesse qui ne pouvait plus se dérober. ,,,,,"and took the Golden Apple to the King's beautiful daughter, who had no more excuses left to make."
"Ils coupèrent la pomme de Vie en deux, la mangèrent ensemble et, ",,,,,They cut the Apple of Life in two and ate it together;
"à cet instant, le coeur de la princesse s'enflamma d'amour pour le jeune homme.",,,,,"and then her heart became full of love for him,"
Ils s'aimèrent et vécurent heureux jusqu'à un âge très avancé.,,,,,and they lived in undisturbed happiness to a great age.
