orth,translation
TROIS REGION TROIS ONZE REGION,"en journée, trois degrés dans la région de Berchtesgaden et onze degrés dans la région du Rhin inférieur"
REGION NUAGE BROUILLARD ET SOLEIL,"en direction du sud-est, nuages, brouillard, parfois soleil"
DEMAIN CENTRE EUROPE MONTER RESTER AU MOINS JUSQU'A DIMANCHE SOLEIL TEMPERATURE MONTER,"l'anticyclone qui se situera demain sur l'est de l'europe centrale déterminera notre temps jusqu'à dimanche au moins, avec beaucoup de soleil et des températures en hausse"
MAIS RESTER SEC SEULEMENT OUEST SUD-OUEST DIMANCHE PEUT PLEUVOIR,la sécheresse se poursuit donc seulement dans l'ouest et le sud-ouest où des averses sont possibles le dimanche
CETTE NUIT REGION CLAIRE ALLEMAGNE IX PEUVENT VOIR SEULEMENT VENIR REGION NORD,"cette nuit, le ciel est clair sur une grande partie du territoire, seuls quelques fins voiles nuageux se déplacent vers l'est sur le nord et le centre du pays"
JOUR BEAUCOUP DE SOLEIL REGION MINCE NUAGE PEUVENT APRES MIDI SUD-OUEST MONTAGNE ET MONTAGNE PEUVENT NUAGE PEUVENT,"en journée, beaucoup de soleil avec ici et là quelques fins voiles nuageux dans l'après-midi, quelques nuages convectoriels se forment au-dessus des moyennes montagnes du sud-ouest et des Alpes"
VENT FAIBLE VENT MODERE,le vent est généralement faible et parfois modéré
CETTE NUIT SEPT DEGRES AACHEN MOINS DEUX BERG TAL IX,"cette nuit, sept degrés à aix-la-Chapelle et moins deux degrés dans les vallées alpines"
JOUR QUINZE DEGRES RUEGEN REGION CINQ VINGT RIVIERE,"le jour, il fait quinze degrés à Rügen et vingt-cinq degrés dans le Rhin supérieur"
SOLEIL CONTINU SAMEDI ET DIMANCHE REGION BEAUCOUP DE SOLEIL,temps ensoleillé samedi et dimanche dans une grande partie de l'Allemagne
OUEST SUD-OUEST PEUVENT NUAGE PARFOIS PEUVENT AVERSES ORAGE PEUVENT,"dans l'ouest et le sud-ouest, le temps est partiellement nuageux avec des averses ou des orages isolés"
LUNDI AUSSI LE PLUS SOUVENT SOLEIL SUEDWEST OUEST PEUVENT PLEUVOIR,"le lundi, le soleil brille généralement aussi - des averses isolées sont possibles dans l'extrême ouest du pays"
VENT poss-SEIN NEIGE HORAIRE IX INTEMPERIQUE AVERTISSEMENT ENORME,Des vents violents provoquent des congères. Le service météorologique allemand a émis des alertes aux intempéries.
CETTE NUIT PARTICULIEREMENT IX SUD NEIGE NEIGE DEMAIN MATIN NORD-OUEST REVENIR NEIGE NEIGE PLUIE RISQUE DE VERGLAS,"Cette nuit, il a d'abord neigé, surtout dans le sud, mais vers demain, de nouvelles chutes de neige et de pluie arriveront du nord-ouest et rendront le sol dangereusement glissant."
REGION AUSSI GEL PLUIE AVEC GEL,"dans le nord-ouest et l'ouest, il y aura aussi temporairement de la pluie verglaçante"
SUD-EST PUIS SOIR JUSQU'AU SOIR AGREABLE SEC,"dans le sud-est, le temps reste partiellement agréable et généralement sec jusqu'au soir"
CETTE NUIT SURTOUT EST SUD-EST GEL DUR NORD PLUS UN,"cette nuit, surtout dans l'est et le sud, gel rigoureux à la mer du nord, plus un degré"
DEMAIN IX QUATRE MONTAGNE JUSQU'A MOINS SEPT,là demain plus quatre sur le bord des Alpes jusqu'à moins sept degrés
VENDREDI REGION MONTAGNE DEJA DE LA NEIGE SINON REGION AGREABLE ET SECHE,"vendredi, encore de la neige dans l'est et en bordure des Alpes, sinon partiellement agréable et généralement sec"
SAMEDI EGALEMENT AGREABLE,partiellement agréable le samedi
IX SOIR NEIGE A NOUVEAU DIMANCHE PROCHAIN,"en soirée, la neige arrive à nouveau de l'ouest et continue de s'étendre le dimanche"
BONNE SOIR CHER ASSISTANT poss-EUCH,bonsoir chers spectateurs
TEMPS VENT DEMAIN DISPARAITRE PUIS EN-VENANT WEEKEND VENIR LENTEMENT PRINTEMPS SOL BLEU AVANT NUAGE MARRON,Le temps orageux se terminera demain et le printemps pourra alors apporter lentement un peu de vert tendre dans ces paysages gris-brun.
CETTE NUIT PLUIE MAIS CENTRE NORD,"ce soir, il pleuvra encore dans le centre et le nord de l'allemagne"
DEMAIN MATIN PUIS NEIGE NORD FROID UN PEU ZERO ENTRE,"et demain matin, il y aura même de la neige sur la côte de la mer du Nord, il fait suffisamment froid pour que les températures dépassent à peine le zéro degré"
EN JOURNEE TEMPERATURE DIFFERENTE SUD DOUX DIX A QUATORZE DEGRES NORD ENORMEMENT FROID DESCENDRE,"et même pendant la journée, nous avons ces différences de température car dans le sud, il fait à nouveau doux avec dix à quatorze degrés alors qu'il fait nettement plus frais sur les côtes."
IX SOLEIL AVEC UN PEU DE PLUIE AVANT MIDI PUIS SOLEIL LE PLUS SOUVENT VENT,"mais là aussi, le soleil brille de nouveau, même s'il y a encore quelques averses le matin et surtout, il y a encore du vent."
VENT DISPARAIT APRES MIDI,"des rafales de vent tempétueuses soufflent de l'ouest jusqu'à l'après-midi, puis le vent se calme"
CENTRE REGION NUAGEUX DEBUT PLUIE SUD SOLEIL AUSSI VENT SINON FAIBLE,"Le temps est maussade dans le centre de l'Allemagne, il pleut encore au début et dans le sud, nous avons aussi un temps ensoleillé et le vent est faible."
DIMANCHE AUSSI IX CHAUD MAIS PLUIE DEJA,"dimanche, il fera plus chaud sur les côtes, mais les premières averses se produiront dans le nord-ouest."
BONNE SOIREE BONNE POSSIBILITE,Je vous souhaite une bonne soirée et un bon séjour.
MAINTENANT COMMENT-REGARDER LE TEMPS DEMAIN SAMEDI QUINZE AOÛT,et maintenant les prévisions météo pour demain samedi 15 août
NORD NUAGE IX ENTRE ECOSSE,le nord est cependant balayé par les nuages d'une dépression près de l'écosse
ECOSSE AUJOURD'HUI NUAGE IX SE LEVER DANEMARK IX PLUIE,"et près des côtes, des nuages persistent aujourd'hui et apportent de la pluie, surtout en direction du Danemark."
MAL NEBEL,quelques brumes se forment ici et là
IX DEMAIN UN PEU DE PLUIE,"dans l'extrême nord, il peut encore pleuvoir un peu demain"
ALPES IX QUELQUES AVERSES ORAGEUSES POSSIBLES,quelques averses ou orages possibles au-dessus des Alpes
SINON REGION SOLEIL,sinon le soleil brille largement
LUNDI MARDI EGALEMENT CHAUD NEG-PAS-MAIN,lundi et mardi encore un peu de changement et moins de chaleur
DEMAIN MERCREDI SEIZE JUIN TEMPS COMMENT-APPARAITRE,et maintenant les prévisions météo pour demain mercredi 16 juin
AUJOURD'HUI VENIR NORD MILIEU VENIR,la pression atmosphérique élevée entre les Açores et la Baltique continue de déterminer le temps au nord et au centre de l'allemagne
CENTRE ALPES BAS VENIR SUD PLUIE,la dépression qui s'étend de la mer Méditerranée vers les anciens provoque des pluies dans le sud
CETTE NUIT PLUS CLAIR ETOILE PEUVENT VOIR SUD NUAGE CIEL PLUIE IX PEUVENT,"la nuit est généralement claire au sud, les nuages sont plus denses et il pleut par endroits"
JOUR NOIR FORET BAVAROISE REGION PLUIE FORTE PLUIE POUVOIR,"en journée, il faut s'attendre à de la pluie, surtout entre la forêt noire et la forêt bavaroise, qui peut être forte"
REGION NUAGE BEAUCOUP SOLEIL,"dans la moitié nord, outre des nuages épars, beaucoup de soleil"
VENT DU NORD-EST VENT DU SUD PEUT SOUFFLER IX PEUT TEMPETE,"dans le nord-est, le vent est faible à modéré en direction du sud-ouest, parfois frais à fort avec quelques rafales de vent en altitude."
EN EFFET TEMPETE PEUT CETTE NUIT QUINZE DEGRES REGION A CINQ DEGRES NORD,"cette nuit, quinze degrés dans le brisgau et jusqu'à cinq degrés dans le nord"
JOUR SEIZE REGION SINON TROIS VINGT DEGRES REGION,"le jour, seize degrés à la mer Baltique et là où il pleut plus longtemps, sinon jusqu'à vingt-trois degrés"
JEUDI CENTRE REGION AVERSES AUSSI SUD AUSSI PARFOIS ORAGES,"jeudi, il pleuvra également dans le centre au sud, avec des orages parfois violents"
NORD IX SOLEIL,le soleil apparaît dans certaines régions du nord
VENDREDI AUSSI NORD AGREABLE SINON NUAGEUX AUSSI PARTIELLEMENT ORAGEUX PLUIE,"vendredi aussi, le temps est partiellement agréable dans le nord, sinon plus de nuages que de soleil, parfois des pluies orageuses"
SAMEDI GLOBALEMENT CHANGEANT,"samedi, temps variable dans l'ensemble"
CHER SPECTATEUR SALUE BONNE SOIREE,"Chers téléspectateurs, bonsoir"
REGION NORD AUJOURD'HUI SOLEIL MAIS GRAND FROID,"dans le nord, il y avait beaucoup de soleil aujourd'hui mais il y avait aussi pas mal de glace"
EXEMPLE BERLIN REGARDE IX SE SENTIR ENORMEMENT FROID,"sur cette photo de Berlin, on a l'impression de ressentir le froid"
DEMAIN TEMPS CHANGEANT POURQUOI VENIR BAS DONC BEAUCOUP DE NEIGE PLUIE TEMPETE,"demain, le temps sera très agité avec une dépression qui nous apportera de fortes chutes de neige et des vents violents."
RESTER JUSQU'A JEUDI AINSI,et cela nous occupera jusqu'à jeudi
NUIT D'ABORD ENORME FROID VOUS DEPUIS LA NEGALP DOIT MIEUX RESTER A LA MAISON,"Ce soir, il va faire très froid, alors si vous n'avez pas besoin de sortir, restez chez vous."
CIEL CLAIR POSSIBLE MOINS CINQ VINGT DEGRES REGION EST OUEST MOINS VINGT UN VINGT DEGRES POSSIBLE,le ciel s'éclaircit sur une grande partie du territoire et les températures peuvent descendre jusqu'à moins vingt-cinq degrés dans l'est et jusqu'à moins vingt et un degrés dans l'ouest
NEIGE REGION EST DEMAIN MATIN DEJA NEIGE,les premiers flocons de neige tombent déjà demain matin sur la mer Baltique
APRES MIDI NEIGE SUR TOUTE LA REGION,"l'après-midi, les chutes de neige continuent de s'étendre en direction des moyennes montagnes du nord"
REGION EST POSSIBLE GLACE PLUIE ATTENTION ROUTE GLISSANTE,"dans le nord-ouest, il peut y avoir de la pluie verglaçante ou de la pluie avec des routes dangereusement glissantes"
REGION SUD RESTE SECHE REGION SUD RESTE SECHE TEMPERATURE DEMAIN MOINS NEUF DEGRES REGION NORD POSSIBLE MOINS PLUS QUATRE DEGRES,"Dans le sud, comme je l'ai dit, le temps reste sec et les températures se situent demain entre moins neuf et plus quatre degrés sur la côte."
MAINTENANT METEO COMMENT-APPARAITRE DEMAIN DIMANCHE HUITIEME MAI,"et maintenant les prévisions météo pour demain, dimanche 8 mai"
MONTRER-ECRAN AUSSI RESTER DEMAIN HAUTE SCANDINAVIE VENIR,"demain encore, l'anticyclone au-dessus de la Scandinavie déterminera le temps sur une grande partie de l'Allemagne"
BASSE REGION VENIR NUAGE VENIR MAIS PLUIE SEULEMENT IX,des dépressions sur les Balkans et l'Atlantique dirigent des nuages vers quelques régions mais les averses ne sont que sporadiques
AUJOURD'HUI NUIT CLAIRE ETOILES PEUVENT VOIR CIEL OUEST NUAGE MINCE,"cette nuit, le ciel est dégagé sur la moitié ouest du pays, avec ici et là de fins nuages voilés"
DEMAIN BEAUCOUP DE SOLEIL OUEST SUD-OUEST PEUVENT NUAGE PLUS PLUIE ORAGE SEULEMENT IX,"dans la matinée, à nouveau beaucoup de soleil dans l'ouest et le sud-ouest, le temps est partiellement nuageux mais il n'y a que quelques averses ou orages."
VENT LOURD FAIBLE MODERE NORD FRAIS PEUT VENIR,le vent est faible à modéré dans le nord avec de fortes rafales sur les côtes
CETTE NUIT QUINZE DEGRES IX FLEUVE UN DEGRE EST,"cette nuit, quinze degrés dans le bas Rhin et jusqu'à un degré à l'est"
JOUR UN VINGT A HUIT VINGT DEGRES EST LAC RESTER FRAIS,"de jour vingt-et-un à vingt-huit degrés à la mer Baltique, il fait plus frais par vent de mer"
IX LUNDI PLUS DE SOLEIL PEUVENT NUAGE OUEST NORD-OUEST PEUVENT PLUIE ORAGE PEUVENT,"lundi également généralement ensoleillé avec ici et là des nuages dans l'extrême ouest et le nord-ouest, des averses et des orages sont possibles"
MARDI SOLEIL OUEST UN PEU NUAGEUX POUVOIR AVERSES ORAGES,"mardi, soleil dans l'ouest, parfois nuageux avec quelques averses et orages"
MERCREDI PARTIE SOLEIL PARTIE NUAGE PLUIE PLUS POUVOIR,"mercredi, soleil et nuages, averses et orages un peu plus fréquents"
TEMPS COMMENT-APPARAITRE DEMAIN SAMEDI TREIZE FEVRIER,"et maintenant les prévisions météo pour demain, samedi 13 février"
SEC FROID AIR VENIR ALLEMAGNE,de l'air froid et humide s'écoule vers l'allemagne
IX AVERSES JUSQU'A DISPARITION DIMANCHE PEU DE NEIGE,"les chutes de neige diminuent peu à peu le dimanche, il ne neige presque plus"
"CETTE NUIT, LEGERE NEIGE SPECIALE EST","dans la nuit, il neigera légèrement par endroits, surtout sur la mer Baltique, et même modérément"
ATTENTION ROUTE GLISSANTE,attention aux routes glissantes
JOUR PLUS FRAIS VENT,"le jour à la mer, le vent est encore frais"
NUIT MOINS DEUX A MOINS TREIZE DEGRES JOUR ACIDE PAYS MOINS CINQ RIVIERE MOINS CINQ,cette nuit moins deux à moins treize degrés le jour dans le Sauerland moins cinq degrés sur le rhin et la spree zéro degré
COMMENT-APPARAITRE EN-VENANT DIMANCHE PARFOIS NEIGE LUNDI CALME HIVER TEMPS PARFOIS SOLEIL LE PLUS SOUVENT,les perspectives dimanche seulement un peu de neige localement lundi temps hivernal calme le soleil brille à certains endroits mais le plus souvent le ciel est très nuageux ou brumeux
NUAGE MARDI NORD-OUEST BEAUCOUP DE NUAGES AVERSES PARTIELLES SINON AGREABLE SEC,"mardi, nombreux nuages dans le nord-ouest apportant de la neige dans certaines régions, sinon temps partiellement agréable et sec"
MAINTENANT TEMPS DEMAIN MARDI DEUXIEME NOVEMBRE,"et maintenant les prévisions météo pour demain, mardi 2 novembre"
NORD-OUEST PUIS BAS VIENNENT EN-VENANT SURTOUT NORD PLUIE VENT,"Dans le nord-ouest de l'Allemagne, des basses pressions se font toutefois sentir et vont provoquer de la pluie et du vent dans les prochains jours, en particulier dans le nord."
NORD-OUEST AUJOURD'HUI BROUILLARD SINON REGION IX ETOILES PEUVENT VOIR,"dans la moitié nord-ouest, le ciel sera généralement couvert cette nuit sinon les étoiles apparaîtront par endroits"
IX NEBEL neg-HABEN amicalement SOLEIL NUAGES,"en dehors du brouillard, le temps devient agréable avec du soleil et des nuages"
MONTAGNE IX LE PLUS SOUVENT NUAGEUX PARFOIS PLUIE,"sur les Alpes, le ciel est très nuageux avec quelques gouttes ici et là"
NORD VENT MODERE COTE FRAIS TEMPETE,"vent faible dans le nord, modéré et frais sur les côtes avec des rafales fortes à tempétueuses"
CETTE NUIT NORD MAXIMUM NEUF MONTAGNE FRAIS IX DEUX DEGRES,cette nuit dans le nord jusqu'à neuf sur le versant alpin deux degrés frais
DEMAIN NEUF ENTRE TREIZE ET QUATORZE DEGRES MAXIMUM,demain températures de neuf à treize dans le bas-rhin jusqu'à quatorze degrés
EN COURS NORD LE PLUS SOUVENT NUAGES PLUIE VENT AUSSI TEMPETE,"dans le nord, le temps sera généralement très nuageux avec de la pluie et du vent, parfois tempétueux, dans les jours à venir"
SUD PLUS AGREABLE GENERALEMENT SEC,"en direction du sud, nettement plus agréable et généralement sec"
IX DOUX,le temps reste très doux
MAINTENANT COMMENT-REGARDER LE TEMPS DEMAIN JEUDI QUATRE VINGT FEVRIER,"et maintenant les prévisions météorologiques pour demain, jeudi, vingt-quatre février"
ISLANDE NUAGE VENIR ALLEMAND PAYS REGION NEIGE PLUIE GEL PLUIE,"les nuages de la dépression près de l'islande provoquent cette nuit de la neige, de la pluie verglaçante et de la pluie dans l'ouest de l'allemagne"
DEMAIN IX PEU VENIR MILIEU,"demain, les précipitations seront plus faibles et s'étendront encore jusqu'au milieu du pays."
REGION HAUT VENIR,l'est reste sous l'influence de la haute pression
IX EST ET SUD-EST JOUR SOLEIL SINON REGION PEU NEIGE NEIGE OU PLUIE AVEC GEL PLUIE,"en journée, soleil dans l'est et l'extrême sud-est, sinon un peu de neige ou de pluie verglaçante dans certaines régions de l'ouest de la plaine"
VENT IX SUD-EST FAIBLE SINON REGION FAIBLE VENT MODERE NORD-EST FRAIS,"le vent est faible dans la moitié sud-est du pays, faible à modéré dans la mer du Nord et la mer Baltique."
CETTE NUIT IX EST MOINS QUINZE KOELN IX DEUX DEGRES,"cette nuit, moins quinze degrés à l'est et plus deux degrés à Cologne"
JOUR EST QUATRE FLEUVE SEPT DEGRES,"le jour, jusqu'à moins quatre degrés à l'est, sept degrés dans le Rhin inférieur"
VENDREDI IX EST SOLEIL NUAGE SINON REGION PEU DE PLUIE SEULEMENT MONTAGNE UN PEU DE NEIGE,"vendredi, soleil et nuages dans la moitié est du pays ; sinon, quelques pluies éparses et un peu de neige dans les Alpes."
SAMEDI NORD IX VENIR PLUIE NORD-EST NEIGE EN PLUS,"samedi, une zone de pluie traversera le pays du nord-ouest au sud-est, avec des chutes de neige partielles dans le nord-est"
DIMANCHE PROBABLEMENT UN PEU DE PLUIE MONTAGNE HAUT NEIGE NEIGE,"dimanche, quelques pluies par endroits, neige en haute montagne"
MAINTENANT INFORMER METEO DEMAIN MARDI NEUF VINGT NOVEMBRE,et maintenant les prévisions météorologiques pour demain mardi vingt-neuf novembre
HAUT VENIR MILIEU VENIR PLUS SUD-EST VENIR,le centre de l'anticyclone se déplace lentement vers le sud-est
SUD CENTRE REGION POSSIBLE AVOIR BROUILLARD PLUS TARD PEUT PLUS,"dans le sud et le centre, il y a déjà par endroits des champs de brouillard qui s'étendent ensuite plus loin"
SINON BEAUCOUP DE SOLEIL NORD-OUEST UN PEU DE NUAGES FORT DE NUAGES,sinon souvent du soleil dans la moitié nord-ouest mais aussi quelques nuages denses
VENT MODERE VENT MODERE VENT NORD NORD-OUEST FRAIS VENT NORD-OUEST SOIREE FORTE TEMPETE,le vent est faible à modéré dans la moitié nord-ouest et frais dans le nord-ouest en soirée rafales de vent
JOUR ZERO DEGRE BROUILLARD CONTINU TREIZE DEGRES IX ALLGAEU,"le jour, zéro degré dans un brouillard permanent et treize degrés dans l'Allgäu"
COMMENT-APPARAITRE EN-VENANT MERCREDI PARTIE SOLEIL PARTIE NUAGE BROUILLARD LIEU PEU DE PLUIE,"mercredi : soleil, nuages ou brouillard, quelques pluies ici et là."
JEUDI PLUIE PLUS SUD-EST VENIR,"à partir de jeudi, les nuages de pluie s'étendront progressivement vers le sud-est"
TEMPS DEMAIN DIMANCHE NEUVIEME MAI COMMENT-APPARAITRE MONTRER-ECRAN,"et maintenant les prévisions météo pour demain, dimanche 9 mai"
AIR CHAUD HAUTE TEMPERATURE MONTER PLUS HAUT,"l'air étant chaud, les températures augmentent aussi un peu"
NORD NUAGE UN PEU DE PLUIE PEUT,"dans le nord, le ciel est encore partiellement nuageux aujourd'hui avec quelques pluies ici et là"
SUD UN PEU D'AVERSE PUIS NUAGE CLAIR CIEL ETOILES PEUVENT VOIR,"en direction du sud, d'abord quelques averses, puis ciel partiellement nuageux et partiellement dégagé"
LIEU BELLE,formation locale de brouillard
JOUR OUEST NUAGE IX PLUIE VENIR PLUIE VENIR SUD AVERSE EST PEUVENT ORAGE,"dans la journée, il y aura beaucoup de nuages, d'abord dans l'ouest et le sud-ouest, puis des averses dans le centre et le sud, surtout dans l'est et le sud-est, ainsi que des orages"
NORD RESTENT SECS,"au nord, le temps reste sec pendant une longue période"
VENT PLUS FAIBLE SI ORAGES PEUVENT SOUFFLER LIEU PEUVENT TEMPETE,"le vent est généralement faible à proximité des averses et des orages, mais il peut se renforcer localement avec des rafales de vent."
CETTE NUIT NEUF A HUIT TROIS DEGRES SI CLAIR ZERO DEGRE,cette nuit neuf à trois degrés avec une éclaircie prolongée proche de zéro degré
COTE DEMAIN DIX DEGRES SUD-EST UN A UN VINGT DEGRES,"sur les côtes, demain dix degrés frais dans le sud-est nettement plus chaud jusqu'à vingt et un degrés"
SEMAINE PROCHAINE SUD PLUS CHAUD NORD RESTE FRAIS,"la semaine prochaine, il fera encore un peu plus chaud dans le nord du pays."
BEAUCOUP DE NUAGES PLUIE PEUT PLUIE PUIS ORAGE PEUT,"le tout avec de nombreux nuages qui apportent de la pluie, parfois même de fortes averses et des orages"
TEMPS CHANGEANT JUSQU'A MERCREDI,Ce temps instable ne changera guère jusqu'à mercredi.
DEMAIN COMMENT-APPARAITRE METEO MERCREDI QUATRE VINGT FEVRIER,"et maintenant les prévisions météorologiques pour demain, mercredi 24 février"
AIR BAS PRESSION TEMPS VENIR,la basse pression atmosphérique détermine notre temps
ALLEMAGNE PAYS COTE TEMPS VARIABLE,le temps instable s'installe à nouveau sur les côtes allemandes
IX NORD FROID REGION DOUX,"au nord, il fait encore relativement froid, sinon il fait assez doux"
IN-KOMMEND A NOUVEAU TEMPS CHANGEANT RESTER,le temps changeant se poursuivra dans les prochains jours
NORD CETTE NUIT TROU ETOILE PEUVENT VOIR IX PLUIE REGION NEIGE NEIGE GLISSANTE,"dans le nord, cette nuit, des trous dans la couverture nuageuse sinon il pleut ici et là de l'emsland jusqu'au brandebourg, parfois de la neige ou de la pluie verglaçante"
VENT VENTS FAIBLES NORD FRAIS VENTS,"le vent est faible à modéré en mer, voire frais"
CETTE NUIT REGION HUIT MOINS SEPT IX EST LAC,"Cette nuit, il fait huit degrés dans le Rhin supérieur et sept dans la mer Baltique."
JOUR PUIS QUATORZE DEGRES REGION UN DEGRE NORD,"le jour, quatorze degrés dans le Brisgau et un degré tout au nord"
COMMENT-APPARAITRE A L'ARRIVEE JEUDI AUSSI PLUIE IX SINON SUD-EST AUSSI SOLEIL PRESENT,"Jeudi, il pleuvra dans certaines régions, surtout dans la moitié sud-est du pays."
VENDREDI CIEL TRES NUAGEUX PLUIE,"vendredi, le ciel sera généralement très nuageux avec des pluies intermittentes"
SAMEDI PLUIE JUSQU'A BASSE ALTITUDE PEUT ARRIVER NEIGE,"samedi averses, parfois neige jusqu'à basse altitude"
TEMPS COMMENT-REGARDER DEMAIN SAMEDI CINQ VINGT SEPTEMBRE,et maintenant les prévisions météo pour demain samedi 25 septembre
CENTRE EUROPE REGION BASSE VENIR GENERALEMENT EST SUD PLUIE,"une vaste zone de basse pression se situe au-dessus de l'europe centrale et apporte des pluies parfois abondantes, en particulier sur l'est et le sud de l'allemagne"
HAUT OUEST JE SUIS NEG-INFLUENCE NEG-INFLUENCE EVITER BLOCAGE,les anticyclones à l'ouest et à l'est n'ont plus guère d'influence sur notre temps
CETTE NUIT GENERALEMENT AVERSES ORAGES SUD-EST PARFOIS PLUIE CONTINUE,"cette nuit, quelques fortes averses et orages se produiront encore au sud et au sud-est du pays."
NORD-OUEST ECLAIRCIE MEILLEURE,"en direction du nord-ouest, la couverture nuageuse se déchire parfois"
DEMAIN OUEST ECLAIRCIE AVERSES SUD-EST BEAUCOUP LONGUE PLUIE FORTE PLUIE,"demain encore, dans l'ouest et le nord-ouest, toujours des trouées dans les nuages et quelques averses isolées dans le sud puis dans l'est, des pluies parfois persistantes et fortes sur une grande partie du territoire"
DEBUT DE NUIT AVERSES ORAGES VENTS VIOLENTS,"en début de nuit, des averses et des orages peuvent provoquer des rafales fortes à tempétueuses"
DEMAIN FAIBLE OUEST NORD-OUEST,demain vent faible à modéré d'ouest à nord-ouest
ALPES CETTE NUIT SEPT NORD A TREIZE,au bord des Alpes cette nuit sept au nord-est encore jusqu'à treize degrés
IX ENCORE DOUX VINGT REGION DIX A DIX-SEPT,là demain encore une vingtaine de degrés doux sinon dix à dix-sept degrés
DIMANCHE OUEST SUD AVERSES AUSSI SOLEIL,"dimanche, quelques averses et un peu de soleil dans l'ouest et le sud du pays"
REGION NUAGEUX BEAUCOUP DE PLUIE,sinon beaucoup de nuages et des pluies abondantes dans certaines régions
DEMAIN AUSSI TOUJOURS CHANGEANT FROID,la nouvelle semaine s'annonce également instable et encore plus fraîche
EST VENT,le vent souffle à l'est
SOIR CHER ASSISTANT poss-EUCH,bonsoir chers spectateurs
DEMAIN PLUS DE SOLEIL IX C'EST ALLGAEU BROUILLARD DISPARAIT,"demain, le temps devrait être plus ensoleillé et les champs de brouillard comme ici dans l'Allgäu devraient se retirer un peu finalement"
MAIS JE NOUS ATTENDONS DE LA PLUIE SURTOUT NORD PAYS ALLEMAND NORD VIENNENT PLUIE MAIS DEMAIN MIDI NORD-OUEST,"Nous attendons aussi de la pluie, surtout pour le nord de l'Allemagne. Une bande de pluie arrive cette nuit de l'ouest mais ne nous atteindra que demain après-midi dans le nord-ouest."
AVANT IX BEAUCOUP DE SOLEIL BROUILLARD PEU,"avant cela, beaucoup de soleil, moins de brouillard, c'est la bonne nouvelle"
CETTE NUIT IX SUD TOUT DE SUITE PUIS BROUILLARD FORT VOIR ENTRE CINQUANTE ET CENT METRES,"cette nuit, l'alerte n'a pas été levée dans le sud, mais un épais brouillard persiste et la visibilité est de cent ou cinquante mètres seulement"
